source,group,group_full,individual,Amerindian,Artic,Australasian,East African,East Asian,Mediterranean,North European,Palaeo African,Siberian,South Asian,Southwest Asian,West African,West Asian
1000g,ACB,African Caribbean in Barbados (ACB),HG01879,0.0,0.0,0.0,4.11,0.47,5.1,5.6,2.46,0.67,0.0,1.03,75.36,5.22
1000g,ACB,African Caribbean in Barbados (ACB),HG01880,1.47,0.37,0.65,2.16,4.66,1.15,5.64,0.84,0.0,24.03,0.42,51.86,6.75
1000g,ACB,African Caribbean in Barbados (ACB),HG01882,0.0,0.92,0.0,7.06,0.0,0.0,0.56,3.42,0.0,0.0,2.19,84.89,0.95
1000g,ACB,African Caribbean in Barbados (ACB),HG01883,0.16,0.0,0.83,4.01,0.0,3.53,7.13,1.86,0.0,0.0,0.98,77.74,3.77
1000g,ACB,African Caribbean in Barbados (ACB),HG01885,0.0,0.0,0.0,3.13,0.0,0.36,2.63,0.81,0.0,0.53,2.85,89.7,0.0
1000g,ACB,African Caribbean in Barbados (ACB),HG01886,0.0,0.8,0.0,3.29,0.0,4.78,7.03,2.35,0.0,0.0,0.07,81.68,0.0
1000g,ACB,African Caribbean in Barbados (ACB),HG01889,1.01,0.47,0.0,3.27,0.0,0.12,1.41,1.94,0.0,0.0,1.01,90.77,0.0
1000g,ACB,African Caribbean in Barbados (ACB),HG01890,0.08,0.58,0.0,0.0,0.0,6.7,6.67,1.92,0.05,0.0,0.36,83.64,0.0
1000g,ACB,African Caribbean in Barbados (ACB),HG01894,0.0,0.0,0.0,6.19,0.2,1.26,7.96,2.78,0.0,0.75,0.0,80.8,0.07
1000g,ACB,African Caribbean in Barbados (ACB),HG01896,0.0,0.0,0.0,4.64,0.15,3.07,1.9,4.57,0.0,0.15,0.0,85.53,0.0
1000g,ACB,African Caribbean in Barbados (ACB),HG01912,0.0,0.48,0.0,0.0,0.0,4.18,3.83,3.26,0.0,1.28,0.51,86.08,0.37
1000g,ACB,African Caribbean in Barbados (ACB),HG01914,0.0,0.0,0.0,4.93,0.0,5.05,7.05,3.06,0.0,2.02,1.36,76.05,0.49
1000g,ACB,African Caribbean in Barbados (ACB),HG01915,0.0,0.0,0.0,1.04,0.0,4.44,1.02,1.28,0.04,1.02,1.6,89.55,0.0
1000g,ACB,African Caribbean in Barbados (ACB),HG01956,0.32,0.0,0.0,4.78,0.0,5.38,3.2,3.79,0.0,0.0,0.69,81.42,0.42
1000g,ACB,African Caribbean in Barbados (ACB),HG01958,1.25,0.0,0.13,3.27,0.05,4.18,8.04,4.57,0.0,0.75,1.25,75.62,0.89
1000g,ACB,African Caribbean in Barbados (ACB),HG01985,0.18,0.0,0.78,2.27,0.0,2.46,5.77,3.68,0.0,0.0,1.45,83.27,0.13
