source,group,group_full,individual,African HG,Amerinidian,Anatolian Neolithic,EHG-Steppe,East Eurasian,Iran Neolithic,Natufian HG,Oceanian,Siberian,South Eurasian,Sub-Saharan,Western HG
1000g,ACB,African Caribbean in Barbados (ACB),HG01879,4.19,2.75,7.55,0.0,2.14,0.53,1.2,1.96,0.0,0.0,76.8,2.88
1000g,ACB,African Caribbean in Barbados (ACB),HG01880,5.55,3.58,8.58,4.11,4.55,0.0,0.0,0.05,0.0,21.33,50.74,1.52
1000g,ACB,African Caribbean in Barbados (ACB),HG01882,6.13,1.15,0.81,3.13,0.88,0.0,0.0,0.0,1.05,0.0,86.85,0.0
1000g,ACB,African Caribbean in Barbados (ACB),HG01883,4.28,0.0,7.42,6.13,0.0,0.0,0.0,0.43,0.0,0.0,80.06,1.69
1000g,ACB,African Caribbean in Barbados (ACB),HG01885,3.84,0.13,2.09,0.73,0.0,0.0,2.46,0.84,0.0,0.0,88.28,1.63
1000g,ACB,African Caribbean in Barbados (ACB),HG01886,6.99,0.37,4.51,4.52,0.0,1.49,0.0,0.0,0.0,0.0,79.12,3.0
1000g,ACB,African Caribbean in Barbados (ACB),HG01889,6.82,0.0,1.71,0.39,0.0,0.0,0.0,0.85,0.0,2.2,88.05,0.0
1000g,ACB,African Caribbean in Barbados (ACB),HG01890,6.07,1.02,7.64,3.65,0.0,0.0,1.94,0.26,0.0,0.0,77.6,1.81
1000g,ACB,African Caribbean in Barbados (ACB),HG01894,5.17,0.0,5.27,1.17,0.98,0.0,0.0,0.03,1.16,0.0,84.1,2.13
1000g,ACB,African Caribbean in Barbados (ACB),HG01896,6.59,0.31,0.0,0.0,1.77,1.8,0.0,0.24,0.0,0.0,87.61,1.67
1000g,ACB,African Caribbean in Barbados (ACB),HG01912,8.43,0.0,6.49,2.03,0.0,0.0,0.0,0.0,1.67,0.0,79.77,1.61
1000g,ACB,African Caribbean in Barbados (ACB),HG01914,10.82,3.01,6.16,3.61,0.0,0.0,0.0,1.42,0.37,0.59,72.68,1.34
1000g,ACB,African Caribbean in Barbados (ACB),HG01915,6.11,0.0,0.84,0.77,0.0,1.4,3.35,0.02,1.62,0.0,84.28,1.62
1000g,ACB,African Caribbean in Barbados (ACB),HG01956,9.78,0.76,4.99,0.65,0.0,0.0,0.0,0.0,0.0,0.0,81.1,2.71
1000g,ACB,African Caribbean in Barbados (ACB),HG01958,3.49,1.02,8.15,3.02,1.45,0.0,0.32,0.0,0.0,0.0,78.84,3.71
1000g,ACB,African Caribbean in Barbados (ACB),HG01985,7.74,0.0,6.75,1.21,0.0,0.0,0.0,1.07,0.0,0.0,82.25,0.99
1000g,ACB,African Caribbean in Barbados (ACB),HG01986,5.41,1.25,6.37,3.08,0.0,0.0,1.93,0.0,0.39,0.0,79.75,1.82
1000g,ACB,African Caribbean in Barbados (ACB),HG01988,1.25,1.72,14.27,9.94,0.0,5.93,0.06,1.45,1.07,2.07,52.98,9.24
1000g,ACB,African Caribbean in Barbados (ACB),HG01989,5.18,0.0,4.22,6.21,0.0,0.33,1.46,0.0,0.0,0.0,78.43,4.17
1000g,ACB,African Caribbean in Barbados (ACB),HG01990,6.05,0.0,0.0,2.29,0.0,1.2,2.87,0.0,0.0,4.39,82.38,0.81
1000g,ACB,African Caribbean in Barbados (ACB),HG02009,6.48,0.0,6.1,3.48,1.16,2.45,1.97,0.0,0.0,0.0,74.49,3.88
1000g,ACB,African Caribbean in Barbados (ACB),HG02010,4.96,0.76,9.6,2.41,0.0,0.0,0.0,0.0,0.56,0.0,78.18,3.53
1000g,ACB,African Caribbean in Barbados (ACB),HG02012,8.73,1.56,2.08,2.08,0.0,0.0,0.0,0.45,0.0,0.0,82.3,2.81
1000g,ACB,African Caribbean in Barbados (ACB),HG02013,7.29,0.29,0.7,0.0,0.0,0.0,0.0,1.58,2.45,0.0,86.15,1.55
1000g,ACB,African Caribbean in Barbados (ACB),HG02014,5.94,0.0,7.79,3.55,0.0,1.47,0.0,0.48,0.0,0.11,80.66,0.0
1000g,ACB,African Caribbean in Barbados (ACB),HG02051,8.14,0.0,0.38,2.93,0.31,0.37,0.0,0.0,0.0,1.12,86.75,0.0
1000g,ACB,African Caribbean in Barbados (ACB),HG02052,8.21,0.0,2.01,0.48,1.29,0.0,1.83,0.0,0.0,0.0,86.16,0.0
1000g,ACB,African Caribbean in Barbados (ACB),HG02053,5.37,0.0,2.91,1.49,0.0,0.0,0.64,0.0,0.71,1.35,85.09,2.44
1000g,ACB,African Caribbean in Barbados (ACB),HG02054,4.96,0.0,6.58,6.59,1.66,0.0,0.0,0.0,0.0,0.0,78.29,1.93
1000g,ACB,African Caribbean in Barbados (ACB),HG02095,7.94,0.8,2.28,2.14,0.0,0.0,0.19,0.0,0.0,0.24,85.02,1.4
1000g,ACB,African Caribbean in Barbados (ACB),HG02107,6.03,0.0,1.3,0.0,0.26,0.0,0.0,0.0,1.52,0.33,87.75,2.8
1000g,ACB,African Caribbean in Barbados (ACB),HG02108,5.57,1.74,11.52,4.31,0.0,0.0,0.0,0.83,0.0,0.0,75.22,0.81
1000g,ACB,African Caribbean in Barbados (ACB),HG02111,5.36,0.0,4.01,1.82,0.0,0.0,0.0,0.0,0.0,0.0,85.05,3.76
1000g,ACB,African Caribbean in Barbados (ACB),HG02143,5.23,0.0,7.84,4.12,1.02,0.0,0.0,0.0,0.0,4.39,74.05,3.34
1000g,ACB,African Caribbean in Barbados (ACB),HG02144,5.84,2.15,0.42,3.26,0.0,0.0,0.0,0.0,0.07,2.04,84.84,1.38
1000g,ACB,African Caribbean in Barbados (ACB),HG02255,6.93,0.93,1.5,2.37,0.08,0.0,0.0,0.79,0.0,1.0,84.45,1.95
1000g,ACB,African Caribbean in Barbados (ACB),HG02256,4.63,4.12,10.34,4.31,0.0,2.87,0.0,0.0,0.0,0.0,70.16,3.56
1000g,ACB,African Caribbean in Barbados (ACB),HG02281,7.02,0.0,2.59,2.56,0.0,0.16,0.0,0.0,0.0,0.98,86.41,0.28
1000g,ACB,African Caribbean in Barbados (ACB),HG02282,5.32,0.0,10.05,5.08,0.0,0.0,0.0,0.81,0.0,0.76,72.7,5.28
1000g,ACB,African Caribbean in Barbados (ACB),HG02283,8.69,0.07,8.47,8.59,0.0,0.0,0.0,0.0,1.2,0.0,70.63,2.35
1000g,ACB,African Caribbean in Barbados (ACB),HG02284,5.6,0.58,5.15,2.01,0.21,0.0,2.31,0.0,1.31,0.77,76.86,5.2
1000g,ACB,African Caribbean in Barbados (ACB),HG02307,8.02,1.85,1.47,0.76,0.0,1.37,0.0,0.0,0.0,3.03,83.47,0.04
1000g,ACB,African Caribbean in Barbados (ACB),HG02308,8.47,0.9,1.77,4.11,0.0,0.0,0.32,0.3,0.0,0.34,79.53,4.26
1000g,ACB,African Caribbean in Barbados (ACB),HG02309,4.78,0.0,4.33,4.74,0.0,0.0,0.0,0.0,0.0,0.0,83.56,2.58
