source,group,group_full,individual,eye_blue,eye_blue_amber,eye_green,eye_hazel,eye_brown,eye_darkest_brown,hair_red,hair_light_blond,hair_dark_blond,hair_light_brown,hair_dark_brown,hair_black,skin_palest,skin_white,skin_olive,skin_light_brown,skin_dark_brown
1000g,ACB,African Caribbean in Barbados (ACB),HG01879,0.0,0.0,0.0,0.07,12.57,87.36,0.0,0.0,0.0,0.0,0.01,99.99,0.0,0.0,0.0,0.28,99.72
1000g,ACB,African Caribbean in Barbados (ACB),HG01880,0.0,0.0,0.01,0.45,34.86,64.68,0.0,0.0,0.0,0.0,0.07,99.93,0.0,0.0,3.64,54.95,41.4
1000g,ACB,African Caribbean in Barbados (ACB),HG01882,0.0,0.0,0.0,0.02,6.84,93.14,0.0,0.0,0.0,0.0,0.01,99.99,0.0,0.0,0.01,0.51,99.48
1000g,ACB,African Caribbean in Barbados (ACB),HG01883,0.0,0.0,0.0,0.01,4.35,95.64,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.24,99.76
1000g,ACB,African Caribbean in Barbados (ACB),HG01885,0.0,0.0,0.0,0.0,4.93,95.07,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.02,47.71,52.27
1000g,ACB,African Caribbean in Barbados (ACB),HG01886,0.0,0.06,0.04,4.0,42.07,53.83,0.0,0.0,0.0,0.04,4.93,95.02,0.0,0.0,6.02,87.25,6.73
1000g,ACB,African Caribbean in Barbados (ACB),HG01889,0.0,0.0,0.0,0.01,5.75,94.23,0.0,0.0,0.0,0.0,0.18,99.82,0.0,0.0,0.46,9.92,89.63
1000g,ACB,African Caribbean in Barbados (ACB),HG01890,0.0,0.0,0.0,0.01,4.03,95.96,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.02,1.35,98.63
1000g,ACB,African Caribbean in Barbados (ACB),HG01894,0.0,0.01,0.01,0.55,27.75,71.68,0.0,0.0,0.0,0.0,0.09,99.91,0.0,0.0,0.01,0.67,99.32
1000g,ACB,African Caribbean in Barbados (ACB),HG01896,0.0,0.0,0.0,0.01,4.96,95.03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.8,95.19
1000g,ACB,African Caribbean in Barbados (ACB),HG01912,0.0,0.43,0.7,9.97,69.61,19.29,0.0,0.0,0.0,0.02,2.95,97.03,0.0,0.0,1.87,78.31,19.82
1000g,ACB,African Caribbean in Barbados (ACB),HG01914,0.0,0.0,0.0,0.06,13.84,86.1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.36,99.64
1000g,ACB,African Caribbean in Barbados (ACB),HG01915,0.0,0.0,0.0,0.0,1.88,98.12,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.02,43.06,56.92
1000g,ACB,African Caribbean in Barbados (ACB),HG01956,0.0,0.0,0.0,0.0,3.32,96.68,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.03,7.43,92.54
1000g,ACB,African Caribbean in Barbados (ACB),HG01958,0.0,0.0,0.0,0.0,1.18,98.82,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.01,12.2,87.79
1000g,ACB,African Caribbean in Barbados (ACB),HG01985,0.0,0.26,0.18,20.46,73.72,5.39,0.0,0.0,0.0,0.0,0.1,99.9,0.0,0.0,0.03,3.14,96.83
1000g,ACB,African Caribbean in Barbados (ACB),HG01986,0.0,4.09,1.0,34.73,58.41,1.76,0.0,0.0,0.0,0.0,0.24,99.76,0.0,0.0,0.0,0.1,99.9
1000g,ACB,African Caribbean in Barbados (ACB),HG01988,0.0,0.01,0.01,0.93,17.58,81.48,0.02,0.0,0.0,0.23,16.73,83.02,0.0,0.0,65.11,34.88,0.01
1000g,ACB,African Caribbean in Barbados (ACB),HG01989,0.0,0.17,0.11,7.55,78.3,13.87,0.0,0.0,0.0,0.0,0.02,99.98,0.0,0.0,0.0,0.1,99.9
1000g,ACB,African Caribbean in Barbados (ACB),HG01990,0.0,0.0,0.01,0.82,57.42,41.75,0.0,0.0,0.0,0.0,0.12,99.87,0.0,0.0,0.02,0.67,99.31
1000g,ACB,African Caribbean in Barbados (ACB),HG02009,0.0,0.0,0.0,0.03,6.58,93.39,0.0,0.0,0.0,0.0,0.1,99.9,0.0,0.0,3.22,74.68,22.1
1000g,ACB,African Caribbean in Barbados (ACB),HG02010,0.0,0.0,0.0,0.0,5.42,94.58,0.0,0.0,0.0,0.0,0.01,99.99,0.0,0.0,0.02,45.5,54.48
1000g,ACB,African Caribbean in Barbados (ACB),HG02012,0.0,0.0,0.0,0.01,6.1,93.89,0.0,0.0,0.0,0.0,0.02,99.98,0.0,0.0,0.0,0.02,99.98
1000g,ACB,African Caribbean in Barbados (ACB),HG02013,0.0,0.0,0.0,0.0,2.22,97.78,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.12,99.88
1000g,ACB,African Caribbean in Barbados (ACB),HG02014,0.0,0.0,0.0,0.02,11.84,88.14,0.0,0.0,0.0,0.0,0.14,99.86,0.0,0.0,0.2,16.23,83.56
1000g,ACB,African Caribbean in Barbados (ACB),HG02051,0.0,0.0,0.0,0.03,6.86,93.11,0.0,0.0,0.0,0.0,0.02,99.98,0.0,0.0,0.0,0.8,99.2
1000g,ACB,African Caribbean in Barbados (ACB),HG02052,0.0,0.0,0.0,0.0,2.97,97.03,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.1,90.2,9.71
